propery_type,rooms,floor,square_foot,price,day,month,year,lat,lng
1,5.0,15,111.85,3400000,14,4,2022,31.9974998,34.7432501
1,5.0,15,111.85,2570000,19,11,2019,31.9974998,34.7432501
1,5.0,15,111.85,1450000,23,10,2008,31.9974998,34.7432501
1,5.0,2,119.73,2830000,13,4,2022,31.9831861,34.7809616
1,5.0,2,119.73,1730000,6,11,2013,31.9831861,34.7809616
1,5.0,2,112.6,3120000,10,4,2022,31.9726344,34.7736909
1,5.0,2,112.6,1650000,4,6,2013,31.9726344,34.7736909
2,5.0,2,155.03,3200000,6,4,2022,31.9678436,34.8145587
2,5.0,2,155.03,929000,12,2,2007,31.9678436,34.8145587
1,5.0,5,110.86,2650000,5,4,2022,31.9676297,34.7967393
1,5.0,5,110.86,1800000,20,8,2015,31.9676297,34.7967393
1,5.0,8,149.66,2670000,29,3,2022,31.9718548,34.8012746
1,5.0,8,149.66,1360000,29,11,2009,31.9718548,34.8012746
1,5.0,8,149.66,1300000,25,1,2009,31.9718548,34.8012746
1,5.0,4,106.1,2430000,28,3,2022,31.9604171,34.7945751
1,5.0,4,106.1,1790000,25,2,2016,31.9604171,34.7945751
1,5.0,4,106.1,825000,3,5,2004,31.9604171,34.7945751
1,7.0,0,195.4,4500000,24,3,2022,31.9655179,34.8226244
1,7.0,0,195.4,1291000,4,7,2007,31.9655179,34.8226244
1,6.0,1,110.79,2050000,24,3,2022,31.9657613,34.8110704
1,6.0,1,110.79,1640000,2,12,2014,31.9657613,34.8110704
1,5.0,6,95.06,3130000,23,3,2022,31.972787,34.7784955
1,5.0,6,95.06,2500000,20,2,2020,31.972787,34.7784955
1,5.0,12,108.0,3500000,22,3,2022,31.9702129,34.7638585
1,5.0,12,108.0,1272000,3,7,2002,31.9702129,34.7638585
1,5.0,6,105.0,2220000,21,3,2022,31.9711659,34.8022205
1,5.0,6,105.0,1700000,26,7,2016,31.9711659,34.8022205
1,5.0,9,145.4,2637000,1,12,2015,31.9704322,34.8237419
1,5.0,9,145.4,2149000,22,9,2011,31.9704322,34.8237419
1,5.0,3,125.6,2870000,14,3,2022,31.9716847,34.7786081
1,5.0,3,125.6,2325000,7,9,2020,31.9716847,34.7786081
1,5.0,1,113.54,2700000,14,3,2022,31.9711446,34.8044784
1,5.0,1,113.54,927000,14,2,2002,31.9711446,34.8044784
1,5.0,1,100.88,2000000,14,3,2022,31.9703223,34.8161691
1,5.0,1,100.88,720000,3,6,2002,31.9703223,34.8161691
1,5.0,4,101.23,1900000,4,3,2022,31.9673073,34.8071908
1,5.0,4,101.23,1800000,17,7,2019,31.9673073,34.8071908
1,5.0,4,101.23,1380000,20,7,2012,31.9673073,34.8071908
1,5.0,4,101.23,750000,26,8,2008,31.9673073,34.8071908
1,5.0,4,101.23,593000,19,10,1998,31.9673073,34.8071908
1,6.0,4,143.09,2720000,3,3,2022,31.9609929,34.8103432
1,6.0,4,143.09,1235000,15,6,2008,31.9609929,34.8103432
1,5.0,1,118.28,2291000,24,2,2022,31.9675101,34.80172
1,5.0,1,118.28,1200000,28,7,2009,31.9675101,34.80172
1,5.0,9,169.96,3260000,20,2,2022,31.9600797,34.8147527
1,5.0,9,169.96,1915000,15,2,2013,31.9600797,34.8147527
2,7.0,1,269.1,5000000,17,2,2022,31.9822411,34.7580278
2,7.0,1,269.1,3100000,10,9,2013,31.9822411,34.7580278
1,5.0,1,125.6,2440000,17,2,2022,31.9605324,34.8166117
1,5.0,1,125.6,1255000,5,7,2009,31.9605324,34.8166117
1,5.0,5,108.43,1892000,17,2,2022,31.9794639,34.776798
1,5.0,5,108.43,1180000,1,4,2008,31.9794639,34.776798
1,6.0,2,145.6,4010000,16,2,2022,31.9823329,34.7829245
1,6.0,2,145.6,1156000,18,11,2003,31.9823329,34.7829245
1,5.0,4,113.0,2192000,16,2,2022,31.9625234,34.8095891
1,5.0,4,113.0,2460000,15,6,2019,31.9625234,34.8095891
1,5.0,4,113.0,627000,18,5,2008,31.9625234,34.8095891
1,5.0,1,91.0,2070000,14,2,2022,31.9688799,34.8113933
1,5.0,1,91.0,1170000,6,7,2015,31.9688799,34.8113933
1,5.0,4,105.0,2180000,9,2,2022,31.9870103,34.7871434
1,5.0,4,105.0,1900000,22,4,2014,31.9870103,34.7871434
1,5.0,4,105.0,1220000,29,3,2009,31.9870103,34.7871434
1,5.0,4,105.0,1300000,22,6,2008,31.9870103,34.7871434
1,5.0,4,105.0,1068000,13,10,1998,31.9870103,34.7871434
1,5.0,4,137.0,4026000,9,2,2022,31.9969352,34.7372329
1,5.0,4,137.0,2305000,19,8,2012,31.9969352,34.7372329
1,5.0,1,108.0,2580000,1,2,2022,31.9570145,34.7975096
1,5.0,1,108.0,2400000,30,12,2020,31.9570145,34.7975096
1,5.0,2,108.0,2650000,1,2,2022,31.9570145,34.7975096
1,5.0,2,108.0,677000,14,12,1999,31.9570145,34.7975096
1,5.0,1,111.16,2780000,1,2,2022,31.9685832,34.8240741
1,5.0,1,111.16,1726000,28,1,2013,31.9685832,34.8240741
1,5.0,5,128.9,2350000,1,2,2022,31.9594181,34.8163927
1,5.0,5,128.9,1735000,8,2,2016,31.9594181,34.8163927
1,5.0,3,121.3,2950000,27,1,2022,31.9980184,34.7383201
1,5.0,3,121.3,1135000,20,1,2004,31.9980184,34.7383201
1,5.0,5,125.05,3680000,25,1,2022,31.9704546,34.778179
1,5.0,5,125.05,2860000,10,3,2017,31.9704546,34.778179
1,5.0,4,115.45,2877000,23,1,2022,31.9693064,34.8231191
1,5.0,4,115.45,1200000,10,12,2012,31.9693064,34.8231191
1,5.0,4,115.45,1520000,31,8,2010,31.9693064,34.8231191
1,5.0,4,115.24,2750000,20,1,2022,31.9693064,34.8231191
1,5.0,4,115.24,1560000,1,8,2012,31.9693064,34.8231191
1,5.0,4,115.24,1520000,20,8,2010,31.9693064,34.8231191
1,5.0,4,131.4,2670000,20,1,2022,31.9580055,34.8164181
1,5.0,4,131.4,1035000,17,6,2001,31.9580055,34.8164181
1,5.0,6,111.61,2980000,20,1,2022,31.9701748,34.8233926
1,5.0,6,111.61,1400000,28,12,2009,31.9701748,34.8233926
1,5.0,9,138.54,3800000,20,1,2022,31.9733759,34.793428
1,5.0,9,138.54,1400000,23,1,2008,31.9733759,34.793428
1,5.0,17,114.29,3350000,20,1,2022,31.9969352,34.7372329
1,5.0,17,114.29,2700000,3,11,2017,31.9969352,34.7372329
1,5.0,17,114.29,1849000,1,5,2008,31.9969352,34.7372329
1,5.0,2,120.2,2580000,18,1,2022,31.964183,34.819535
1,5.0,2,120.2,2100000,5,2,2020,31.964183,34.819535
1,5.0,2,120.2,1528000,3,3,2010,31.964183,34.819535
3,5.0,2,108.2,3850000,17,1,2022,31.9795593,34.7725133
3,5.0,2,108.2,2450000,31,3,2016,31.9795593,34.7725133
3,5.0,2,108.2,800000,22,7,2015,31.9795593,34.7725133
3,5.0,2,108.2,1479000,2,7,2007,31.9795593,34.7725133
1,5.0,6,116.9,2650000,16,1,2022,31.9771863,34.7711445
1,5.0,6,116.9,933000,7,11,2001,31.9771863,34.7711445
1,5.0,2,122.98,2400000,16,1,2022,31.9716681,34.7835363
1,5.0,2,122.98,835000,18,1,2000,31.9716681,34.7835363
1,5.0,1,174.0,3435000,13,1,2022,31.9686605,34.7987055
1,5.0,1,174.0,1375000,26,8,2010,31.9686605,34.7987055
1,5.0,1,174.0,650000,7,1,2007,31.9686605,34.7987055
2,5.0,0,200.0,3000000,12,1,2022,31.9595894,34.8204916
1,5.0,4,109.5,3100000,12,1,2022,31.9817066,34.7811035
1,5.0,4,109.5,1890000,14,3,2012,31.9817066,34.7811035
1,5.0,4,104.93,2870000,6,1,2022,31.9733545,34.7876938
1,5.0,4,104.93,1385000,31,1,2008,31.9733545,34.7876938
1,5.0,3,140.8,3100000,6,1,2022,31.9678764,34.8229523
1,5.0,3,140.8,1507000,30,12,2010,31.9678764,34.8229523
1,5.0,3,117.45,3200000,4,1,2022,31.9704546,34.778179
1,5.0,3,117.45,2730000,24,10,2018,31.9704546,34.778179
1,5.0,3,117.45,2230000,4,1,2014,31.9704546,34.778179
1,5.0,3,97.0,2200000,4,1,2022,31.9959916,34.7388416
1,5.0,3,97.0,1730000,4,8,2017,31.9959916,34.7388416
1,5.0,3,97.0,1415000,5,11,2013,31.9959916,34.7388416
1,5.0,4,124.47,2230000,2,1,2022,31.9715999,34.8122024
1,5.0,4,124.47,2230000,22,6,2020,31.9715999,34.8122024
1,5.0,1,135.0,1800000,30,12,2021,31.9705803,34.8142419
1,5.0,1,135.0,1590000,12,11,2017,31.9705803,34.8142419
1,5.0,1,135.0,1100000,29,12,2011,31.9705803,34.8142419
1,5.0,2,100.77,1845000,27,12,2021,31.9647843,34.8229115
1,5.0,2,100.77,624000,11,4,2005,31.9647843,34.8229115
1,6.0,12,122.38,3220000,23,12,2021,31.9805375,34.7848116
1,6.0,12,122.38,2335000,4,5,2015,31.9805375,34.7848116
1,6.0,12,122.38,1349000,11,6,2007,31.9805375,34.7848116
1,5.0,3,123.73,2200000,21,12,2021,31.9527114,34.8047735
1,5.0,3,123.73,1850000,6,5,2019,31.9527114,34.8047735
1,6.0,6,134.6,3670000,20,12,2021,31.9696247,34.8242656
1,6.0,6,134.6,2300000,27,1,2013,31.9696247,34.8242656
1,5.0,5,125.25,2435000,20,12,2021,31.9595101,34.8175798
1,5.0,5,125.25,1790000,12,11,2014,31.9595101,34.8175798
1,6.0,2,124.32,3660000,17,12,2021,31.9651196,34.7745283
1,6.0,2,124.32,2770000,27,3,2017,31.9651196,34.7745283
1,6.0,2,124.32,1421000,20,10,2003,31.9651196,34.7745283
1,5.0,3,87.0,1480000,16,12,2021,31.9554886,34.8184096
1,5.0,3,112.0,3325000,16,12,2021,31.9739634,34.7707113
1,5.0,3,112.0,1900000,24,4,2012,31.9739634,34.7707113
1,5.0,3,112.0,1180000,3,9,2006,31.9739634,34.7707113
1,5.0,5,122.69,3425000,12,12,2021,31.9807437,34.8035089
1,5.0,5,122.69,1900000,16,2,2010,31.9807437,34.8035089
1,5.0,1,114.58,1440000,9,12,2021,31.9671894,34.8055152
1,5.0,1,114.58,1250000,11,11,2009,31.9671894,34.8055152
1,5.0,1,114.58,900000,25,6,2008,31.9671894,34.8055152
1,5.0,1,109.92,2390000,9,12,2021,31.978532,34.772646
1,5.0,1,109.92,1044000,3,5,2002,31.978532,34.772646
1,5.0,3,113.13,2665000,9,12,2021,31.9730015,34.7925013
1,5.0,3,113.13,1110000,6,9,2007,31.9730015,34.7925013
1,5.0,3,120.1,2485000,9,12,2021,31.9606011,34.8151173
1,5.0,3,120.1,1125000,31,1,2008,31.9606011,34.8151173
1,5.0,7,99.73,2080000,2,12,2021,31.9609557,34.8154714
1,5.0,7,99.73,920000,3,10,2008,31.9609557,34.8154714
1,5.0,1,99.82,1800000,2,12,2021,31.9714265,34.8156551
1,5.0,1,99.82,1365000,18,5,2015,31.9714265,34.8156551
1,5.0,0,117.28,3200000,30,11,2021,31.974831,34.7751674
1,5.0,0,117.28,1103000,22,2,2005,31.974831,34.7751674
1,5.0,7,116.9,2850000,29,11,2021,31.9772758,34.7701874
1,5.0,7,116.9,1825000,5,3,2012,31.9772758,34.7701874
1,5.0,7,116.9,949000,21,1,2001,31.9772758,34.7701874
1,5.0,1,113.0,2150000,28,11,2021,31.9653429,34.8222087
1,5.0,1,113.0,1520000,27,7,2021,31.9653429,34.8222087
1,5.0,2,139.8,2900000,27,11,2021,31.9704322,34.8237419
1,5.0,2,139.8,1615000,18,5,2011,31.9704322,34.8237419
1,5.0,0,110.5,3050000,26,11,2021,31.9760852,34.7809572
1,5.0,0,110.5,1850000,5,5,2013,31.9760852,34.7809572
1,5.0,3,111.7,2150000,26,11,2021,31.9575815,34.8036415
1,5.0,3,111.7,1470000,18,2,2014,31.9575815,34.8036415
1,5.0,4,152.66,2900000,25,11,2021,31.9974419,34.740602
1,5.0,4,152.66,1500000,24,4,2012,31.9974419,34.740602
1,5.0,1,110.0,2170000,25,11,2021,31.9723423,34.8088813
1,5.0,1,110.0,1850000,5,7,2016,31.9723423,34.8088813
1,5.0,1,110.0,1330000,4,2,2014,31.9723423,34.8088813
2,6.0,1,215.0,5000000,25,11,2021,31.9766625,34.7994423
2,6.0,1,215.0,3650000,16,5,2016,31.9766625,34.7994423
1,5.0,4,109.5,1900000,23,11,2021,31.9699699,34.8160528
1,5.0,4,109.5,1765000,5,11,2017,31.9699699,34.8160528
2,6.0,0,156.7,4350000,23,11,2021,31.9816708,34.7787103
2,6.0,0,156.7,1761000,23,12,2007,31.9816708,34.7787103
6,6.0,1,158.5,4100000,23,11,2021,32.0001542,34.7473025
6,6.0,1,158.5,2200000,20,5,2014,32.0001542,34.7473025
1,5.0,1,100.09,2100000,22,11,2021,31.9622751,34.810258
1,5.0,1,100.09,1680000,8,5,2017,31.9622751,34.810258
1,5.0,10,149.02,3310000,19,11,2021,31.978532,34.772646
1,5.0,10,149.02,1930000,17,8,2010,31.978532,34.772646
1,5.0,10,149.02,1730000,3,5,2009,31.978532,34.772646
1,5.0,5,131.5,2665000,17,11,2021,31.9580055,34.8164181
1,5.0,5,131.5,1090000,19,11,2002,31.9580055,34.8164181
1,5.0,4,117.7,2800000,16,11,2021,31.9637276,34.7937982
1,5.0,4,117.7,1890000,15,10,2018,31.9637276,34.7937982
1,5.0,5,113.0,2500000,15,11,2021,31.9729512,34.7769702
1,5.0,5,113.0,1925000,4,1,2017,31.9729512,34.7769702
1,5.0,3,111.2,2315000,12,11,2021,31.9730015,34.7925013
1,5.0,3,111.2,883000,4,4,2007,31.9730015,34.7925013
1,5.0,1,109.1,2500000,9,11,2021,31.9808122,34.7809116
1,5.0,1,109.1,2200000,9,6,2016,31.9808122,34.7809116
1,5.0,1,109.1,1750000,14,2,2011,31.9808122,34.7809116
1,5.0,1,109.1,796000,10,5,1998,31.9808122,34.7809116
1,6.0,6,119.0,3160000,9,11,2021,31.9710534,34.8099599
1,6.0,6,119.0,1620000,20,7,2013,31.9710534,34.8099599
1,5.0,16,111.85,3000000,8,11,2021,31.9974998,34.7432501
1,5.0,16,111.85,1370000,24,1,2008,31.9974998,34.7432501
1,5.0,3,111.63,2470000,7,11,2021,31.9643006,34.7716776
1,5.0,3,111.63,1315000,25,3,2018,31.9643006,34.7716776
1,5.0,5,116.87,2500000,4,11,2021,31.9582333,34.7946333
1,5.0,5,116.87,990000,6,5,2007,31.9582333,34.7946333
1,5.0,2,118.35,2820000,4,11,2021,31.9797285,34.7843716
1,5.0,2,118.35,1700000,12,3,2013,31.9797285,34.7843716
1,5.0,6,115.58,2700000,4,11,2021,31.9722597,34.8093139
1,5.0,6,115.58,2050000,7,9,2016,31.9722597,34.8093139
1,5.0,1,120.0,1350000,3,11,2021,31.9696247,34.8242656
1,5.0,1,120.0,1600000,23,12,2012,31.9696247,34.8242656
1,5.0,1,120.0,1512000,30,7,2012,31.9696247,34.8242656
1,5.0,10,115.3,2660000,2,11,2021,31.9752171,34.770411
1,5.0,10,115.3,1580000,9,5,2013,31.9752171,34.770411
1,5.0,10,115.3,1170000,1,7,2007,31.9752171,34.770411
1,5.0,1,130.2,2650000,31,10,2021,31.9698463,34.8247662
1,5.0,1,130.2,1660000,27,8,2012,31.9698463,34.8247662
1,5.0,1,103.0,2345000,28,10,2021,31.964422,34.793986
1,5.0,1,103.0,1500000,31,7,2009,31.964422,34.793986
2,5.0,0,126.29,3350000,25,10,2021,31.9495689,34.8108051
2,5.0,0,126.29,2950000,28,2,2019,31.9495689,34.8108051
2,5.0,0,126.29,1700000,8,9,2008,31.9495689,34.8108051
1,5.0,3,93.67,3125000,25,10,2021,31.986885,34.7856643
1,5.0,3,93.67,1780000,13,2,2018,31.986885,34.7856643
4,6.0,0,142.85,3880000,24,10,2021,31.9790465,34.7744431
4,6.0,0,142.85,1314000,9,11,2003,31.9790465,34.7744431
1,6.0,5,119.75,2650000,21,10,2021,31.9708526,34.7804008
1,6.0,5,119.75,1029000,24,10,2007,31.9708526,34.7804008
4,5.0,0,106.6,2380000,21,10,2021,31.9675316,34.8140917
4,5.0,0,106.6,1649000,24,11,2015,31.9675316,34.8140917
4,5.0,0,106.6,1200000,1,4,2008,31.9675316,34.8140917
1,5.0,2,103.6,2330000,21,10,2021,31.9611473,34.8149036
1,5.0,2,103.6,1250000,3,5,2010,31.9611473,34.8149036
1,5.0,6,120.9,1229500,19,10,2021,31.9581899,34.8165601
1,5.0,6,120.9,965000,20,8,2001,31.9581899,34.8165601
1,5.0,9,106.0,2800000,18,10,2021,31.9691218,34.7673615
1,5.0,9,106.0,2220000,10,12,2015,31.9691218,34.7673615
1,6.0,0,154.74,3265000,18,10,2021,31.9543331,34.8092051
1,6.0,0,154.74,1148000,26,7,1999,31.9543331,34.8092051
1,5.0,1,88.0,1480000,7,10,2021,31.986162,34.786353
1,5.0,1,88.0,450000,20,8,2002,31.986162,34.786353
1,5.0,1,94.76,1860000,6,10,2021,31.9686407,34.8099126
1,5.0,1,94.76,1200000,23,6,2010,31.9686407,34.8099126
1,5.0,1,94.76,726000,21,3,2007,31.9686407,34.8099126
1,5.0,0,91.76,3300000,4,10,2021,31.9651245,34.782294
1,5.0,0,91.76,1700000,7,11,2010,31.9651245,34.782294
1,5.0,0,91.76,1033000,21,6,2001,31.9651245,34.782294
1,5.0,5,109.36,2060000,12,9,2021,31.9549912,34.8135641
1,5.0,5,109.36,812000,31,7,2003,31.9549912,34.8135641
1,5.0,3,148.5,2300000,5,9,2021,31.9675046,34.8080577
1,5.0,3,148.5,1016000,26,4,2006,31.9675046,34.8080577
1,7.0,0,178.0,3600000,2,9,2021,31.9799937,34.7603358
1,7.0,0,178.0,1480000,27,10,2005,31.9799937,34.7603358
1,5.0,1,104.0,2180000,2,9,2021,31.9733151,34.7805092
1,5.0,1,104.0,1600000,25,8,2010,31.9733151,34.7805092
2,6.0,1,167.28,5102000,2,9,2021,31.9572743,34.8134374
2,6.0,1,167.28,3085000,14,6,2020,31.9572743,34.8134374
1,5.0,8,111.0,3055000,29,8,2021,31.9694856,34.767574
1,5.0,8,111.0,1415000,8,7,2007,31.9694856,34.767574
1,5.0,6,125.05,3550000,29,8,2021,31.9704546,34.778179
1,5.0,6,125.05,2520000,28,6,2015,31.9704546,34.778179
1,5.0,2,134.2,2995000,26,8,2021,31.9837585,34.8042341
1,5.0,2,134.2,2570000,18,11,2015,31.9837585,34.8042341
1,5.0,2,134.2,1611000,10,1,2010,31.9837585,34.8042341
6,6.0,0,161.9,1850000,23,8,2021,31.9758434,34.8152587
6,6.0,0,161.9,1510000,24,2,2019,31.9758434,34.8152587
6,6.0,0,161.9,1410000,24,2,2019,31.9758434,34.8152587
1,5.0,0,114.0,2495000,18,8,2021,31.9588174,34.7960124
1,5.0,0,114.0,2400000,8,2,2017,31.9588174,34.7960124
1,5.0,0,114.0,1743000,2,12,2015,31.9588174,34.7960124
1,5.0,0,114.0,1720000,17,11,2015,31.9588174,34.7960124
1,5.0,0,114.0,1650000,28,6,2015,31.9588174,34.7960124
1,5.0,0,114.0,1526000,20,5,2015,31.9588174,34.7960124
1,5.0,1,126.2,2500000,17,8,2021,31.9695903,34.779143
1,5.0,1,126.2,2220000,2,2,2015,31.9695903,34.779143
1,5.0,4,97.64,2070000,15,8,2021,31.9671973,34.810904
1,5.0,4,97.64,1175000,25,8,2009,31.9671973,34.810904
1,5.0,4,97.64,808000,17,8,2003,31.9671973,34.810904
1,5.0,7,121.0,3540000,12,8,2021,31.9965648,34.7357053
1,5.0,7,121.0,1884314,19,2,2013,31.9965648,34.7357053
1,5.0,7,121.0,2215000,5,7,2010,31.9965648,34.7357053
1,5.0,1,114.05,2200000,11,8,2021,31.9671894,34.8055152
1,5.0,1,114.05,767000,3,9,1998,31.9671894,34.8055152
2,8.0,0,176.97,3130000,11,8,2021,31.9678789,34.8195724
2,8.0,0,176.97,1394000,22,7,2007,31.9678789,34.8195724
1,6.0,6,144.0,3500000,10,8,2021,31.9704546,34.778179
1,6.0,6,144.0,2735000,29,12,2016,31.9704546,34.778179
1,6.0,6,144.0,2860000,28,5,2016,31.9704546,34.778179
4,5.0,1,146.0,3200000,8,8,2021,31.9716833,34.7782224
4,5.0,1,146.0,2800000,5,2,2019,31.9716833,34.7782224
4,5.0,1,146.0,2400000,23,7,2015,31.9716833,34.7782224
4,5.0,1,146.0,1137000,27,2,2003,31.9716833,34.7782224
4,5.0,1,146.0,1118000,10,9,2002,31.9716833,34.7782224
4,5.0,3,120.0,1550000,6,8,2021,31.9813897,34.8029875
4,5.0,3,120.0,2200000,17,6,2010,31.9813897,34.8029875
4,5.0,3,120.0,1895000,11,1,2010,31.9813897,34.8029875
1,5.0,1,120.0,2920000,5,8,2021,31.972721,34.796999
1,5.0,1,120.0,2080000,28,1,2016,31.972721,34.796999
1,6.0,9,165.87,3800000,4,8,2021,31.9730015,34.7925013
1,6.0,9,165.87,3105000,25,2,2016,31.9730015,34.7925013
4,5.0,0,154.84,3170000,2,8,2021,31.986924,34.7842114
4,5.0,0,154.84,2040000,16,7,2014,31.986924,34.7842114
4,5.0,0,154.84,1199000,25,8,2006,31.986924,34.7842114
4,5.0,0,154.84,1185000,23,1,2002,31.986924,34.7842114
1,5.0,6,114.36,2600000,2,8,2021,31.9578576,34.8175235
1,5.0,6,114.36,2250000,4,11,2016,31.9578576,34.8175235
2,6.0,0,145.81,3550000,1,8,2021,31.9574823,34.8283751
2,6.0,0,145.81,2150000,5,4,2012,31.9574823,34.8283751
2,6.0,0,145.81,1212000,3,5,2002,31.9574823,34.8283751
2,5.0,0,167.0,3800000,29,7,2021,31.9805066,34.7619661
2,5.0,0,167.0,1245000,11,5,2000,31.9805066,34.7619661
1,5.0,1,99.0,2410000,27,7,2021,31.9636525,34.779376
1,5.0,1,99.0,1585000,11,12,2014,31.9636525,34.779376
1,5.0,5,119.56,2725000,26,7,2021,31.9745915,34.7738313
1,5.0,5,119.56,2150000,20,1,2016,31.9745915,34.7738313
1,5.0,8,88.1,1100000,25,7,2021,31.9837646,34.7815524
1,5.0,8,88.1,1875000,19,4,2016,31.9837646,34.7815524
1,5.0,8,88.1,753000,9,4,1998,31.9837646,34.7815524
1,5.0,8,112.93,2535000,25,7,2021,31.9779973,34.774332
1,5.0,8,112.93,1800000,21,12,2009,31.9779973,34.774332
1,5.0,5,120.9,2390000,25,7,2021,31.9581899,34.8165601
1,5.0,5,120.9,1500000,12,12,2012,31.9581899,34.8165601
1,5.0,3,120.88,2605000,23,7,2021,31.9447957,34.8215001
1,5.0,3,120.88,1420000,7,7,2010,31.9447957,34.8215001
1,5.0,1,112.45,1960000,22,7,2021,31.9616982,34.7946837
1,5.0,1,112.45,844000,5,5,2004,31.9616982,34.7946837
2,5.0,0,154.43,3275000,22,7,2021,31.962182,34.7779697
2,5.0,0,154.43,2740000,1,2,2016,31.962182,34.7779697
1,5.0,0,102.3,3080000,22,7,2021,31.965132,34.775383
1,5.0,0,102.3,2190000,9,2,2016,31.965132,34.775383
1,5.0,1,110.0,1850000,21,7,2021,31.9723423,34.8088813
1,5.0,1,110.0,777000,22,4,2004,31.9723423,34.8088813
2,6.0,0,141.8,1800000,20,7,2021,31.9589718,34.8113868
2,6.0,0,141.8,1800000,6,10,2013,31.9589718,34.8113868
2,6.0,0,141.8,1134000,30,12,2004,31.9589718,34.8113868
1,5.0,6,120.88,3100000,20,7,2021,31.9827122,34.8039638
1,5.0,6,120.88,2156000,15,1,2012,31.9827122,34.8039638
1,5.0,6,105.0,1870000,20,7,2021,31.9715729,34.8020828
1,5.0,6,105.0,1440000,15,12,2014,31.9715729,34.8020828
1,5.0,2,84.35,1780000,19,7,2021,31.959788,34.7981416
1,5.0,2,84.35,1180000,6,5,2009,31.959788,34.7981416
1,5.0,2,84.35,678000,31,8,1999,31.959788,34.7981416
2,6.0,0,244.0,5600000,14,7,2021,31.9803698,34.7716332
2,6.0,0,244.0,2486000,30,4,2007,31.9803698,34.7716332
1,5.0,1,115.8,2240000,8,7,2021,31.9646181,34.8209135
1,5.0,1,115.8,1400000,18,3,2011,31.9646181,34.8209135
1,5.0,1,115.8,815000,9,3,2000,31.9646181,34.8209135
2,6.0,0,144.13,3850000,7,7,2021,31.9863304,34.776429
2,6.0,0,144.13,2800000,28,3,2016,31.9863304,34.776429
1,5.0,9,111.0,2580000,6,7,2021,31.9779691,34.7711019
1,5.0,9,111.0,1066000,16,4,2007,31.9779691,34.7711019
1,5.0,9,111.0,894000,12,11,1998,31.9779691,34.7711019
4,6.0,0,154.84,2750000,6,7,2021,31.986065,34.7837836
4,6.0,0,154.84,1305000,2,7,2008,31.986065,34.7837836
1,6.0,6,156.0,3200000,6,7,2021,31.998672,34.7399421
1,6.0,6,156.0,2650000,6,3,2014,31.998672,34.7399421
1,6.0,6,156.0,2800000,31,5,2011,31.998672,34.7399421
1,5.0,9,109.5,2700000,6,7,2021,31.9817066,34.7811035
1,5.0,9,109.5,2010000,11,12,2011,31.9817066,34.7811035
1,5.0,2,98.0,2070000,6,7,2021,31.9591532,34.801487
1,5.0,2,98.0,1368000,8,5,2016,31.9591532,34.801487
1,5.0,7,98.1,1570000,5,7,2021,31.9714265,34.8156551
1,5.0,7,98.1,589000,16,8,2004,31.9714265,34.8156551
3,5.0,6,126.38,3400000,30,6,2021,31.957961,34.7975121
3,5.0,6,126.38,2200000,3,9,2014,31.957961,34.7975121
1,5.0,7,139.88,3660000,29,6,2021,31.9733759,34.793428
1,5.0,7,139.88,2350000,22,7,2010,31.9733759,34.793428
1,5.0,7,139.88,1540000,1,11,2007,31.9733759,34.793428
1,6.0,8,138.85,2630000,24,6,2021,31.972018,34.8105098
1,6.0,8,138.85,913000,13,6,2001,31.972018,34.8105098
1,5.0,3,132.0,2775000,21,6,2021,31.9807768,34.8026083
1,5.0,3,132.0,2150000,25,9,2015,31.9807768,34.8026083
1,5.0,3,132.0,1536000,6,7,2009,31.9807768,34.8026083
2,6.0,1,227.95,5100000,21,6,2021,31.9841471,34.8031297
2,6.0,1,227.95,2900000,28,12,2011,31.9841471,34.8031297
1,5.0,3,133.11,2800000,21,6,2021,31.9750326,34.7867873
1,5.0,3,133.11,1883000,30,4,2014,31.9750326,34.7867873
1,5.0,4,105.64,2070000,21,6,2021,31.957961,34.7975121
1,5.0,4,105.64,1820000,11,7,2016,31.957961,34.7975121
1,5.0,1,125.2,2620000,20,6,2021,31.963265,34.794915
1,5.0,1,125.2,970000,13,11,2003,31.963265,34.794915
1,5.0,6,126.73,2450000,16,6,2021,31.9665266,34.7983291
1,5.0,6,126.73,875000,11,3,1998,31.9665266,34.7983291
1,6.0,0,164.26,3600000,16,6,2021,31.9701748,34.8233926
1,6.0,0,164.26,1968000,26,3,2010,31.9701748,34.8233926
1,6.0,0,164.26,1714000,27,8,2009,31.9701748,34.8233926
1,5.0,3,132.0,2740000,16,6,2021,31.9670173,34.8242164
1,5.0,3,132.0,1780000,5,5,2013,31.9670173,34.8242164
1,5.0,5,110.0,2100000,15,6,2021,31.9723423,34.8088813
1,5.0,5,110.0,1025000,12,10,2008,31.9723423,34.8088813
1,7.0,2,241.77,2850000,11,6,2021,31.9974318,34.7406297
1,7.0,2,241.77,2200000,20,1,2016,31.9974318,34.7406297
1,5.0,7,112.16,2825000,10,6,2021,31.9701748,34.8233926
1,5.0,7,112.16,1505000,22,6,2010,31.9701748,34.8233926
2,5.0,0,267.41,3190000,8,6,2021,31.9536537,34.8234515
2,5.0,0,267.41,3100000,14,7,2019,31.9536537,34.8234515
1,5.0,7,116.5,2700000,7,6,2021,31.9693064,34.8231191
1,5.0,7,116.5,1574000,24,10,2010,31.9693064,34.8231191
1,5.0,6,139.0,3330000,7,6,2021,31.969375,34.824984
